Soil_Moisture,Temperature,Humidity,Light_Intensity,Days_Since_Watering,Water_Needed
43,22,79,667,1,0
63,31,34,800,5,1
23,21,40,834,4,1
47,37,63,734,3,0
60,21,67,880,4,1
39,29,80,480,5,1
38,23,39,583,1,0
26,39,53,468,2,1
15,40,31,604,3,1
52,35,40,510,1,1
32,35,60,773,4,1
13,22,61,594,3,1
41,37,80,802,5,1
14,37,57,933,5,1
79,20,34,632,4,1
55,21,78,477,2,0
54,28,55,648,1,0
65,30,77,972,1,0
35,23,30,407,1,0
61,34,76,455,2,0
37,33,53,785,5,1
35,33,80,406,3,0
32,33,72,907,5,1
27,25,64,414,1,1
37,29,68,672,2,0
53,36,42,611,1,1
77,29,32,632,5,1
27,34,65,510,2,1
17,27,78,994,2,1
50,24,35,681,2,0
68,32,35,776,1,0
62,40,35,981,4,1
71,28,32,642,5,1
45,25,31,867,4,1
13,34,35,517,1,1
60,21,44,791,2,0
60,32,73,725,2,0
77,38,49,624,4,1
21,34,30,489,5,1
20,23,42,658,1,1
15,37,39,660,2,1
53,21,42,567,2,0
74,24,38,949,3,0
58,24,73,733,5,1
18,21,41,946,1,1
49,27,40,628,4,1
39,22,50,564,5,1
35,23,54,441,1,0
27,27,37,694,3,1
47,20,52,974,1,0
34,36,62,902,2,1
62,27,69,438,3,0
79,25,32,790,3,0
51,39,44,688,4,1
36,23,58,949,1,0
36,20,33,997,2,0
19,24,39,517,5,1
40,34,65,615,4,1
65,34,58,660,5,1
56,23,41,529,3,0
45,23,55,682,5,1
29,30,39,949,2,1
55,30,41,617,5,1
71,37,54,859,4,1
77,24,66,526,2,0
40,28,80,428,1,0
20,20,75,804,2,1
45,20,80,830,1,0
62,28,39,835,1,0
35,28,64,974,4,1
34,30,67,785,2,1
43,36,72,578,1,0
80,39,35,900,1,1
58,30,51,555,2,0
58,26,46,483,1,0
58,39,51,875,5,1
58,26,30,540,3,0
65,38,61,684,1,0
54,35,69,418,2,0
10,33,80,574,2,1
75,36,79,621,3,0
72,23,30,663,5,1
64,26,32,857,3,0
43,20,52,454,4,1
41,37,36,748,1,1
66,22,53,842,5,1
63,34,66,978,3,0
17,21,64,495,3,1
25,23,66,581,5,1
23,35,47,406,2,1
16,20,52,484,3,1
28,23,58,481,2,1
10,34,34,922,2,1
11,22,52,518,4,1
29,24,66,655,1,1
62,31,64,899,2,0
33,36,39,557,3,1
23,28,69,636,1,1
31,30,75,403,2,1
67,32,63,474,2,0
51,23,70,433,1,0
46,25,41,998,5,1
36,25,56,567,2,0
21,32,36,800,2,1
71,33,31,762,1,1
60,40,65,770,2,0
38,40,40,695,3,1
45,36,68,626,2,0
64,34,53,805,5,1
65,20,65,547,3,0
71,32,72,881,1,0
35,21,38,695,1,0
10,30,69,441,1,1
48,22,32,897,5,1
53,38,59,501,2,0
21,38,66,443,3,1
58,36,39,968,1,1
56,31,45,615,3,0
17,40,46,884,1,1
21,34,55,888,5,1
35,34,61,415,1,0
32,40,51,649,5,1
16,28,80,897,3,1
48,22,47,842,2,0
26,33,60,551,3,1
69,32,63,530,5,1
52,27,55,582,4,1
48,34,78,915,5,1
34,32,47,560,5,1
51,31,31,710,3,0
51,21,59,650,5,1
22,37,61,438,4,1
38,36,58,717,5,1
66,35,73,638,1,0
19,26,49,788,1,1
58,22,74,541,2,0
77,37,66,831,1,0
62,33,44,984,1,1
77,31,66,460,5,1
52,25,68,839,3,0
71,32,63,552,4,1
13,27,49,974,5,1
66,28,78,905,3,0
15,24,34,453,1,1
18,22,49,972,3,1
44,37,47,461,1,1
12,22,67,519,5,1
77,33,66,666,1,0
65,22,57,940,1,0
76,21,41,569,1,0
49,24,40,625,4,1
47,27,34,575,2,0
27,25,66,715,5,1
37,24,42,992,2,0
49,32,61,717,5,1
67,22,69,439,3,0
42,25,53,546,4,1
68,35,70,762,5,1
62,29,65,590,3,0
47,26,34,956,2,0
40,29,39,762,5,1
39,26,60,481,4,1
11,33,42,923,2,1
22,33,56,512,1,1
26,27,60,847,5,1
44,35,35,866,2,1
72,34,59,436,5,1
31,23,49,883,2,1
77,36,41,800,2,1
74,37,79,669,5,1
45,22,41,406,5,1
20,20,35,478,3,1
67,21,75,684,4,1
22,28,68,670,5,1
38,30,61,529,4,1
31,30,56,781,4,1
65,40,76,483,3,0
66,24,32,906,1,0
67,25,44,561,5,1
44,36,54,923,2,0
24,31,45,938,4,1
55,36,58,708,3,0
55,37,36,786,5,1
73,31,53,777,3,0
29,33,44,552,1,1
18,25,77,900,5,1
11,27,40,463,5,1
30,37,59,719,2,1
47,30,74,501,1,0
17,30,51,487,1,1
26,31,75,862,4,1
29,20,39,641,4,1
11,20,62,988,4,1
35,26,31,565,2,0
55,37,44,505,4,1
58,27,40,716,3,0
15,28,35,472,1,1
17,27,79,717,4,1
71,34,36,858,4,1
13,25,51,809,3,1
50,29,43,411,4,1
22,32,80,521,3,1
64,33,65,708,3,0
53,37,35,948,1,1
68,22,57,434,5,1
63,34,62,731,1,0
40,39,66,915,4,1
29,37,78,819,2,1
75,34,63,694,2,0
67,31,32,636,2,0
49,40,44,919,4,1
51,31,43,733,2,0
46,24,67,952,4,1
23,26,54,483,2,1
79,36,54,427,2,0
44,24,34,848,4,1
65,23,74,702,3,0
19,22,43,991,2,1
19,31,59,760,1,1
14,39,37,912,1,1
73,39,57,520,3,0
46,34,66,603,5,1
58,36,73,555,4,1
70,39,79,733,2,0
46,39,55,400,3,0
79,24,34,560,1,0
60,33,41,889,4,1
62,37,53,650,3,0
59,26,60,583,3,0
59,31,67,550,5,1
61,35,79,774,2,0
10,27,58,751,5,1
56,21,30,710,2,0
52,29,59,513,2,0
26,27,76,987,3,1
55,23,62,400,3,0
40,35,43,452,5,1
71,21,79,974,1,0
42,28,54,984,5,1
40,28,40,723,2,0
13,25,48,853,2,1
22,28,52,764,3,1
10,26,54,464,4,1
80,34,50,872,1,0
58,36,64,501,2,0
20,22,37,402,5,1
35,27,77,849,4,1
35,31,34,703,5,1
53,23,44,442,2,0
52,32,50,806,3,0
56,40,44,450,4,1
30,32,51,733,5,1
77,35,75,938,5,1
37,22,37,543,2,0
45,37,31,988,4,1
16,31,39,438,5,1
40,26,78,844,2,0
65,23,49,851,1,0
53,32,71,958,3,0
22,40,51,619,1,1
35,28,44,409,2,0
51,27,53,448,2,0
46,23,79,930,4,1
69,26,39,545,3,0
45,29,62,838,2,0
78,34,78,882,4,1
42,40,46,831,5,1
24,22,57,854,3,1
19,28,43,476,5,1
66,21,64,662,5,1
27,22,71,773,5,1
48,28,78,858,4,1
55,38,33,617,2,1
41,26,74,435,5,1
45,22,38,752,3,0
79,28,68,960,4,1
11,24,73,938,5,1
17,25,37,961,3,1
53,22,51,529,4,1
11,25,46,753,4,1
17,31,65,852,5,1
40,34,45,845,1,1
64,35,41,799,4,1
17,39,32,941,5,1
32,38,69,916,4,1
74,40,49,805,2,1
41,20,45,859,4,1
23,23,62,513,5,1
75,28,50,848,3,0
76,39,52,595,2,0
64,25,64,805,3,0
24,24,71,411,1,1
51,25,47,828,3,0
39,29,59,861,3,0
16,39,43,472,5,1
44,21,56,529,3,0
29,37,39,936,2,1
34,20,65,494,1,1
63,33,32,882,1,1
15,32,63,791,5,1
77,34,33,572,4,1
21,32,60,931,2,1
69,25,61,442,2,0
69,38,60,916,3,0
43,29,54,781,3,0
59,34,38,482,1,1
30,28,57,589,3,1
16,35,45,659,4,1
49,36,66,758,4,1
61,39,65,523,2,0
72,24,64,918,3,0
23,26,66,997,5,1
64,21,56,804,5,1
19,26,34,464,5,1
62,37,66,572,4,1
69,30,50,707,5,1
35,23,63,963,4,1
61,25,71,420,2,0
22,36,70,591,1,1
18,28,30,529,4,1
57,20,39,641,2,0
69,27,50,683,3,0
43,27,51,599,1,0
26,32,48,980,4,1
74,24,37,599,1,0
52,20,74,834,3,0
33,36,34,547,5,1
67,33,65,835,3,0
16,38,57,962,3,1
67,24,34,749,2,0
47,34,61,767,4,1
17,27,54,728,2,1
59,22,78,781,4,1
50,37,39,548,4,1
21,27,31,773,5,1
62,35,61,687,4,1
20,29,44,672,2,1
64,28,54,887,3,0
31,39,59,571,3,1
55,36,50,521,1,0
21,28,76,929,5,1
22,40,37,701,4,1
31,30,54,933,4,1
38,32,47,940,5,1
61,37,60,862,3,0
32,31,42,677,3,1
46,20,32,418,5,1
39,26,73,766,1,0
17,29,45,983,1,1
14,22,30,503,3,1
73,29,63,890,1,0
19,40,75,630,3,1
36,21,70,511,5,1
18,39,65,997,2,1
67,31,46,413,1,0
43,40,49,986,3,1
79,38,66,531,5,1
13,39,39,935,3,1
35,24,67,868,5,1
47,33,33,587,1,1
54,39,46,518,4,1
